Year,Population,Births,Deaths,Immigration,Emigration,Mariages,Divorces
1749,1764724,59483,49516,,,15046,
1750,1780678,64511,47622,,,16374,
1751,1802132,69291,46902,,,16599,
1752,1816703,64973,49467,,,16761,
1753,1837869,66007,43905,,,15923,
1754,1857047,68759,48645,,,17457,
1755,1875029,70008,51090,,,17097,
1756,1889424,67987,52062,,,16005,
1757,1892990,61675,56579,,,15078,
1758,1893444,63262,61277,,,15273,
1759,1905866,63865,49912,,,18529,
1760,1925248,68384,47471,,,18705,
1761,1942257,67324,49893,,,18253,
1762,1949359,68268,60744,,,17428,
1763,1952238,68231,64180,,,16850,
1764,1966190,67988,53364,,,17219,
1765,1976824,65872,54566,,,16066,
1766,1992142,67061,49726,,,16419,
1767,2009696,70744,51272,,,16539,
1768,2020546,67719,54751,,,17039,
1769,2030491,66954,54991,,,16463,
1770,2042574,67172,53071,,,16537,
1771,2050680,65988,56827,,,15873,
1772,2032235,58972,76362,,,13928,
1773,1977205,51164,105139,,,15560,
1774,2000208,68520,44463,,,17433,
1775,2020847,71642,49949,,,19002,
1776,2041289,66869,45692,,,18310,
1777,2057147,67693,51096,,,18577,
1778,2073296,71901,55028,,,18692,
1779,2089624,76387,59325,,,18035,
1780,2118281,75122,45731,,,17938,
1781,2132912,71130,54313,,,16638,
1782,2140986,68488,58247,,,16415,
1783,2143570,64969,60213,,,17124,
1784,2145213,67605,63792,,,16031,
1785,2149773,67497,60770,,,16791,
1786,2163415,70935,55951,,,17297,
1787,2178403,68328,51998,,,17253,
1788,2192760,74019,58320,,,17235,
1789,2188962,70127,72583,,,17369,
1790,2187732,66710,66598,,,18063,
1791,2202319,71613,55946,,,23786,
1792,2229343,81063,52958,,,22191,
1793,2250919,77033,54376,,,19934,
1794,2272890,76429,53377,,,18509,
1795,2281137,72947,63619,,,17279,
1796,2300793,79446,56474,,,19747,
1797,2322814,80374,55036,,,19523,
1798,2344228,78593,53862,,,19349,
1799,2356993,75274,59192,,,17283,
1800,2347303,67555,73928,,,17528,
1801,2354952,70629,61317,,,17057,
1802,2372216,74963,56035,,,18500,
1803,2388619,74644,56577,,,19491,
1804,2403814,76443,59584,,,19335,
1805,2422039,76552,56663,,,20197,
1806,2428734,74581,66728,,,19492,
1807,2439599,75842,63818,,,19959,
1808,2427592,73963,84811,,,19762,
1809,2394101,64300,96532,,,18817,
1810,2396351,78916,75607,,,25780,
1811,2411382,84862,69246,,,25615,
1812,2418780,81079,73095,,,22054,
1813,2423949,72021,66266,,,18745,
1814,2438241,75837,60959,,,18281,
1815,2465066,85239,57829,,,23553,
1816,2497484,87644,56225,,,23069,
1817,2521442,83821,60863,,,20938,
1818,2546411,85714,61745,,,21427,
1819,2561780,84250,69881,,,20795,
1820,2584690,84841,62930,,,21722,
1821,2610870,92072,66416,,,22890,
1822,2646314,94309,59390,,,24431,
1823,2689031,98259,56067,,,23993,
1824,2726877,93577,56256,,,23907,
1825,2771252,100315,56465,,,23640,
1826,2804926,97125,63027,,,22525,
1827,2827719,88138,64920,,,20339,
1828,2846788,95354,75860,,,22440,
1829,2863132,99488,82719,,,22581,
1830,2888082,94626,69251,,,22222,
1831,2901039,88253,75274,,,19983,95
1832,2922801,89862,68078,,,20935,118
1833,2959141,100309,63947,,,23029,135
1834,2983055,100231,76294,,,23803,121
1835,3025439,98144,55738,,,22533,87
1836,3059356,96857,60763,,,21816,117
1837,3076184,94616,75611,,,21153,85
1838,3090262,90565,74309,,,18774,120
1839,3106459,91363,72988,,,20963,83
1840,3138887,98160,63555,,,22071,97
1841,3173160,95734,61279,,,22619,105
1842,3206776,100976,67177,,,22691,87
1843,3236632,99154,69115,,,23167,101
1844,3275133,104693,66009,,,24208,103
1845,3316536,103660,62074,,,24009,95
1846,3342927,99703,72683,,,22981,115
1847,3362072,99179,79405,,,22858,121
1848,3397454,102524,66513,,,24729,99
1849,3441286,112304,67842,,,26891,127
1850,3482541,110399,68514,,,26267,100
1851,3516647,111065,72506,,1102,25750,122
1852,3540409,108305,80090,,3314,24150,112
1853,3563316,111407,84047,,2998,25596,106
1854,3608124,120107,70846,,4243,27585,124
1855,3641011,115072,77734,,1087,27253,115
1856,3672988,115082,79618,,1130,27221,130
